Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9
0.985,0.004,0.022,0.503,0.998,0.999,0.886,0.871,0.911
0.913,0.019,0.033,0.020,0.957,0.980,0.834,0.684,0.758
0.913,0.019,0.033,0.020,0.957,0.980,0.834,0.684,0.758
0.364,0.029,0.936,0.706,0.390,0.342,0.934,0.905,0.331
0.755,0.007,0.006,0.003,0.872,0.882,0.889,0.732,0.344
0.972,0.027,0.090,0.237,0.991,0.995,0.734,0.738,0.855
0.923,0.021,0.328,0.757,0.969,0.980,0.778,0.823,0.722
0.664,0.097,0.413,0.784,0.739,0.833,0.680,0.667,0.429
0.571,0.095,0.625,0.482,0.579,0.518,0.698,0.738,0.439
0.007,0.936,0.056,0.024,0.002,0.004,0.175,0.715,0.005
0.975,0.006,0.321,0.430,0.991,0.993,0.803,0.780,0.814
0.925,0.005,0.142,0.079,0.967,0.977,0.951,0.959,0.582
0.153,0.008,0.038,0.036,0.197,0.201,0.945,0.948,0.071
0.930,0.005,0.019,0.501,0.990,0.994,0.917,0.870,0.752
0.530,0.016,0.759,0.375,0.600,0.417,0.947,0.918,0.412
0.030,0.335,0.002,0.000,0.018,0.022,0.779,0.704,0.008
0.466,0.822,0.317,0.136,0.391,0.419,0.476,0.579,0.347
0.023,0.827,0.134,0.066,0.011,0.024,0.654,0.902,0.020
0.515,0.012,0.875,0.454,0.601,0.427,0.963,0.944,0.410
0.866,0.942,0.614,0.477,0.897,0.766,0.820,0.994,0.628
0.067,0.919,0.144,0.101,0.041,0.040,0.362,0.940,0.055
0.028,0.038,0.282,0.059,0.024,0.006,0.909,0.905,0.010
0.011,0.094,0.016,0.004,0.007,0.009,0.809,0.898,0.008
0.444,0.032,0.910,0.798,0.484,0.452,0.850,0.891,0.365
0.917,0.003,0.617,0.595,0.975,0.968,0.924,0.940,0.867
0.217,0.023,0.865,0.827,0.234,0.142,0.881,0.946,0.101
0.344,0.128,0.768,0.655,0.302,0.280,0.744,0.811,0.245
0.243,0.091,0.545,0.355,0.205,0.118,0.733,0.751,0.129
0.181,0.054,0.716,0.271,0.172,0.175,0.919,0.875,0.105
0.270,0.029,0.837,0.664,0.265,0.206,0.879,0.957,0.130
0.876,0.022,0.014,0.057,0.948,0.968,0.658,0.551,0.590
0.950,0.003,0.683,0.884,0.988,0.989,0.865,0.897,0.904
0.794,0.021,0.356,0.762,0.916,0.971,0.850,0.861,0.605
0.263,0.061,0.803,0.664,0.213,0.142,0.799,0.877,0.149
0.263,0.061,0.803,0.664,0.213,0.142,0.799,0.877,0.149
0.973,0.089,0.018,0.011,0.988,0.992,0.783,0.783,0.865
0.979,0.002,0.006,0.027,0.997,0.999,0.935,0.887,0.882
0.679,0.004,0.581,0.287,0.743,0.680,0.901,0.850,0.439
0.180,0.231,0.351,0.069,0.138,0.262,0.831,0.793,0.111
0.345,0.009,0.084,0.208,0.367,0.268,0.417,0.339,0.151
0.223,0.057,0.669,0.938,0.234,0.182,0.557,0.572,0.163
0.267,0.097,0.817,0.595,0.225,0.149,0.802,0.857,0.162
0.403,0.056,0.730,0.517,0.280,0.542,0.811,0.876,0.262
0.858,0.030,0.690,0.850,0.927,0.945,0.793,0.847,0.709
0.603,0.069,0.783,0.552,0.643,0.677,0.802,0.755,0.563
0.439,0.007,0.866,0.964,0.547,0.689,0.895,0.922,0.205
0.017,0.209,0.032,0.020,0.011,0.008,0.409,0.511,0.013
0.760,0.029,0.460,0.406,0.840,0.829,0.840,0.876,0.567
0.760,0.029,0.460,0.406,0.840,0.829,0.840,0.876,0.567
0.166,0.193,0.005,0.000,0.134,0.103,0.783,0.536,0.035
0.018,0.118,0.135,0.110,0.011,0.005,0.447,0.401,0.010
0.018,0.118,0.135,0.110,0.011,0.005,0.447,0.401,0.010
0.241,0.097,0.077,0.381,0.271,0.318,0.316,0.404,0.133
0.018,0.118,0.135,0.110,0.011,0.005,0.447,0.401,0.010
0.832,0.240,0.186,0.062,0.857,0.695,0.680,0.611,0.529
0.862,0.021,0.459,0.994,0.955,0.967,0.596,0.627,0.661
0.484,0.007,0.768,0.678,0.578,0.455,0.905,0.928,0.320
0.561,0.116,0.330,0.334,0.597,0.690,0.734,0.750,0.267
0.159,0.057,0.013,0.014,0.140,0.098,0.718,0.839,0.050
0.336,0.049,0.754,0.559,0.320,0.359,0.865,0.870,0.186
0.729,0.029,0.251,0.780,0.856,0.856,0.706,0.748,0.446
0.759,0.028,0.221,0.771,0.883,0.886,0.716,0.752,0.473
0.200,0.027,0.016,0.264,0.284,0.486,0.865,0.757,0.083
0.542,0.134,0.544,0.240,0.498,0.402,0.772,0.768,0.355
0.821,0.076,0.051,0.066,0.890,0.872,0.564,0.639,0.548
0.005,0.091,0.015,0.004,0.003,0.005,0.706,0.839,0.004
0.560,0.054,0.714,0.683,0.589,0.491,0.696,0.791,0.448
0.077,0.012,0.505,0.181,0.078,0.104,0.955,0.928,0.040
0.631,0.022,0.816,0.358,0.706,0.530,0.937,0.910,0.521
0.482,0.051,0.045,0.079,0.544,0.604,0.721,0.646,0.174
0.044,0.065,0.027,0.008,0.027,0.014,0.457,0.342,0.015
0.511,0.012,0.719,0.727,0.601,0.629,0.878,0.873,0.391
0.067,0.007,0.565,0.711,0.059,0.034,0.807,0.901,0.032
0.972,0.011,0.160,0.260,0.993,0.994,0.901,0.937,0.899
0.013,0.846,0.278,0.363,0.006,0.018,0.802,0.973,0.010
0.465,0.078,0.100,0.050,0.498,0.419,0.744,0.618,0.209
0.150,0.006,0.911,0.262,0.150,0.354,0.970,0.974,0.124
0.900,0.002,0.077,0.174,0.975,0.982,0.941,0.934,0.616
0.874,0.015,0.101,0.607,0.960,0.979,0.845,0.822,0.683
0.692,0.180,0.485,0.612,0.728,0.836,0.648,0.755,0.470
0.387,0.003,0.634,0.945,0.584,0.739,0.839,0.874,0.213
0.376,0.023,0.946,0.786,0.424,0.414,0.931,0.917,0.357
0.021,0.722,0.187,0.049,0.013,0.017,0.776,0.969,0.017
0.300,0.054,0.525,0.197,0.310,0.278,0.919,0.890,0.161
0.971,0.007,0.074,0.983,0.996,0.998,0.806,0.796,0.865
0.071,0.032,0.011,0.015,0.055,0.038,0.712,0.746,0.026
0.817,0.131,0.193,0.393,0.865,0.840,0.521,0.650,0.482
0.013,0.710,0.038,0.005,0.006,0.011,0.537,0.794,0.011
0.073,0.052,0.281,0.122,0.092,0.056,0.925,0.880,0.033
0.651,0.006,0.618,0.878,0.811,0.730,0.778,0.856,0.444
0.140,0.082,0.772,0.652,0.101,0.034,0.777,0.875,0.071
0.261,0.040,0.834,0.617,0.249,0.109,0.840,0.893,0.157
0.543,0.151,0.423,0.515,0.546,0.656,0.671,0.694,0.307
0.972,0.003,0.036,0.985,0.997,0.999,0.895,0.902,0.865
0.602,0.018,0.007,0.003,0.675,0.774,0.795,0.554,0.200
0.061,0.070,0.140,0.210,0.041,0.023,0.380,0.376,0.026
0.898,0.067,0.049,0.029,0.927,0.802,0.728,0.717,0.442
0.117,0.087,0.031,0.030,0.100,0.127,0.558,0.526,0.051
0.620,0.007,0.424,0.909,0.810,0.883,0.756,0.850,0.386
0.056,0.112,0.006,0.000,0.035,0.028,0.897,0.708,0.010
0.241,0.021,0.923,0.770,0.255,0.174,0.914,0.909,0.167
0.977,0.005,0.027,0.203,0.996,0.998,0.802,0.802,0.868
0.680,0.011,0.810,0.810,0.768,0.835,0.880,0.882,0.590
0.015,0.993,0.084,0.013,0.006,0.005,0.063,0.609,0.023
0.520,0.076,0.502,0.146,0.511,0.344,0.851,0.805,0.298
0.549,0.015,0.248,0.247,0.646,0.529,0.776,0.622,0.327
0.310,0.057,0.777,0.748,0.302,0.405,0.818,0.831,0.178
0.816,0.079,0.811,0.572,0.874,0.856,0.774,0.796,0.828
0.816,0.079,0.811,0.572,0.874,0.856,0.774,0.796,0.828
0.553,0.037,0.734,0.752,0.584,0.584,0.747,0.760,0.450
0.500,0.062,0.635,0.834,0.518,0.543,0.655,0.685,0.349
0.612,0.183,0.029,0.010,0.549,0.349,0.555,0.457,0.188
0.088,0.079,0.296,0.166,0.041,0.100,0.668,0.696,0.020
0.635,0.148,0.508,0.678,0.658,0.767,0.678,0.725,0.378
0.444,0.037,0.002,0.003,0.574,0.574,0.800,0.823,0.145
0.066,0.111,0.905,0.665,0.052,0.018,0.862,0.930,0.046
0.608,0.033,0.026,0.016,0.682,0.592,0.917,0.975,0.218
0.608,0.033,0.026,0.016,0.682,0.592,0.917,0.975,0.218
0.980,0.161,0.012,0.006,0.991,0.977,0.515,0.557,0.870
0.980,0.161,0.012,0.006,0.991,0.977,0.515,0.557,0.870
0.980,0.161,0.012,0.006,0.991,0.977,0.515,0.557,0.870
0.451,0.027,0.797,0.790,0.543,0.447,0.850,0.866,0.349
0.036,0.043,0.089,0.040,0.026,0.008,0.788,0.847,0.017
0.962,0.010,0.016,0.091,0.993,0.998,0.891,0.850,0.840
0.894,0.016,0.214,0.034,0.933,0.906,0.932,0.947,0.731
0.644,0.065,0.190,0.227,0.715,0.779,0.749,0.706,0.391
0.644,0.065,0.190,0.227,0.715,0.779,0.749,0.706,0.391
0.230,0.050,0.840,0.718,0.184,0.168,0.723,0.691,0.166
0.390,0.044,0.952,0.960,0.438,0.458,0.829,0.785,0.425
0.095,0.022,0.032,0.001,0.079,0.054,0.953,0.871,0.019
0.831,0.013,0.023,0.135,0.931,0.953,0.807,0.741,0.529
0.245,0.065,0.817,0.765,0.238,0.173,0.728,0.748,0.260
0.542,0.073,0.267,0.278,0.555,0.565,0.608,0.641,0.341
0.731,0.002,0.040,0.033,0.897,0.938,0.931,0.830,0.338
0.089,0.063,0.859,0.772,0.052,0.051,0.796,0.842,0.056
0.408,0.088,0.866,0.538,0.386,0.367,0.815,0.842,0.355
0.095,0.700,0.500,0.141,0.070,0.030,0.534,0.854,0.080
0.304,0.067,0.805,0.732,0.274,0.220,0.789,0.834,0.194
0.137,0.059,0.004,0.002,0.116,0.121,0.687,0.651,0.040
0.213,0.033,0.019,0.002,0.173,0.089,0.823,0.629,0.048
0.086,0.018,0.694,0.445,0.074,0.020,0.914,0.960,0.034
0.268,0.095,0.475,0.392,0.257,0.150,0.730,0.761,0.162
0.712,0.029,0.021,0.067,0.811,0.828,0.519,0.482,0.355
0.811,0.010,0.249,0.695,0.921,0.961,0.841,0.906,0.536
0.441,0.040,0.072,0.233,0.504,0.404,0.602,0.684,0.156
0.043,0.006,0.735,0.163,0.035,0.038,0.964,0.936,0.031
0.043,0.006,0.735,0.163,0.035,0.038,0.964,0.936,0.031
0.704,0.014,0.010,0.012,0.815,0.694,0.799,0.712,0.262
0.913,0.906,0.621,0.497,0.924,0.889,0.567,0.919,0.790
0.733,0.055,0.821,0.517,0.765,0.736,0.824,0.814,0.646
0.689,0.019,0.249,0.548,0.835,0.850,0.854,0.840,0.501
0.019,0.048,0.032,0.014,0.012,0.009,0.812,0.850,0.008
0.738,0.031,0.475,0.311,0.824,0.804,0.879,0.897,0.555
0.955,0.283,0.004,0.003,0.966,0.956,0.265,0.410,0.692
0.923,0.054,0.551,0.785,0.969,0.979,0.727,0.825,0.859
0.080,0.016,0.201,0.070,0.075,0.036,0.914,0.929,0.023
0.353,0.032,0.484,0.361,0.394,0.278,0.841,0.836,0.192
0.824,0.009,0.596,0.758,0.915,0.922,0.838,0.862,0.674
0.293,0.283,0.066,0.024,0.316,0.520,0.838,0.910,0.181
0.061,0.104,0.005,0.000,0.042,0.023,0.660,0.578,0.023
0.826,0.013,0.119,0.488,0.935,0.954,0.804,0.827,0.503
0.929,0.059,0.107,0.031,0.954,0.960,0.814,0.816,0.814
0.191,0.095,0.690,0.635,0.149,0.092,0.746,0.867,0.105
0.040,0.028,0.003,0.001,0.035,0.042,0.874,0.933,0.016
0.668,0.031,0.243,0.755,0.814,0.885,0.730,0.779,0.456
0.058,0.044,0.813,0.686,0.034,0.033,0.820,0.846,0.039
0.719,0.031,0.305,0.831,0.850,0.926,0.830,0.799,0.492
0.816,0.034,0.419,0.195,0.871,0.825,0.868,0.911,0.670
0.017,0.015,0.444,0.311,0.011,0.002,0.842,0.940,0.007
0.015,0.046,0.024,0.010,0.010,0.007,0.807,0.857,0.007
0.600,0.011,0.405,0.741,0.744,0.782,0.801,0.880,0.333
0.010,0.123,0.007,0.001,0.005,0.006,0.724,0.834,0.006
0.444,0.104,0.346,0.086,0.397,0.296,0.792,0.752,0.232
0.444,0.104,0.346,0.086,0.397,0.296,0.792,0.752,0.232
0.219,0.025,0.703,0.514,0.213,0.105,0.887,0.922,0.094
0.072,0.082,0.803,0.703,0.058,0.016,0.760,0.881,0.045
0.011,0.967,0.011,0.000,0.004,0.004,0.383,0.716,0.006
0.372,0.055,0.929,0.757,0.372,0.370,0.913,0.918,0.290
0.186,0.016,0.935,0.647,0.204,0.108,0.953,0.922,0.146
0.583,0.114,0.242,0.245,0.625,0.702,0.668,0.656,0.312
0.536,0.002,0.120,0.060,0.602,0.827,0.883,0.824,0.225
0.242,0.059,0.070,0.029,0.185,0.072,0.481,0.273,0.054
0.909,0.010,0.117,0.736,0.978,0.984,0.745,0.758,0.772
0.235,0.157,0.009,0.003,0.230,0.184,0.582,0.430,0.084
0.235,0.157,0.009,0.003,0.230,0.184,0.582,0.430,0.084
0.824,0.041,0.229,0.599,0.909,0.947,0.770,0.805,0.565
0.067,0.046,0.161,0.332,0.076,0.032,0.740,0.753,0.053
0.026,0.123,0.047,0.023,0.017,0.013,0.709,0.876,0.016
0.454,0.026,0.166,0.658,0.563,0.795,0.836,0.868,0.267
0.575,0.271,0.078,0.023,0.565,0.402,0.548,0.465,0.279
0.700,0.727,0.020,0.003,0.648,0.482,0.442,0.191,0.449
0.820,0.009,0.586,0.758,0.914,0.920,0.836,0.860,0.667
0.947,0.145,0.029,0.007,0.969,0.977,0.842,0.840,0.820
0.364,0.022,0.940,0.774,0.415,0.407,0.927,0.917,0.319
0.326,0.034,0.827,0.699,0.363,0.316,0.849,0.804,0.258
0.312,0.044,0.903,0.588,0.290,0.212,0.896,0.907,0.218
0.935,0.067,0.005,0.002,0.959,0.957,0.699,0.485,0.488
0.062,0.080,0.007,0.001,0.038,0.021,0.781,0.732,0.021
0.062,0.080,0.007,0.001,0.038,0.021,0.781,0.732,0.021
0.773,0.303,0.029,0.016,0.806,0.935,0.732,0.662,0.548
0.583,0.119,0.354,0.361,0.624,0.715,0.729,0.745,0.284
0.065,0.133,0.034,0.018,0.043,0.041,0.626,0.621,0.025
0.919,0.003,0.105,0.876,0.986,0.992,0.889,0.903,0.662
0.953,0.029,0.251,0.856,0.988,0.994,0.613,0.677,0.852
0.010,0.081,0.504,0.059,0.006,0.003,0.928,0.983,0.004
0.195,0.008,0.856,0.923,0.168,0.211,0.840,0.914,0.124
0.708,0.005,0.230,0.157,0.808,0.755,0.906,0.911,0.318
0.009,0.909,0.241,0.063,0.004,0.006,0.384,0.896,0.013
0.579,0.037,0.023,0.036,0.629,0.517,0.745,0.685,0.216
0.719,0.222,0.808,0.606,0.760,0.751,0.641,0.703,0.736
0.719,0.222,0.808,0.606,0.760,0.751,0.641,0.703,0.736
0.920,0.004,0.517,0.558,0.976,0.966,0.877,0.886,0.878
0.039,0.034,0.716,0.703,0.030,0.011,0.762,0.805,0.024
0.022,0.152,0.712,0.265,0.016,0.007,0.857,0.944,0.014
0.009,0.036,0.074,0.015,0.005,0.002,0.864,0.879,0.003
0.926,0.007,0.035,0.044,0.976,0.987,0.860,0.787,0.654
0.109,0.045,0.729,0.567,0.116,0.029,0.812,0.867,0.048
0.008,0.978,0.058,0.003,0.003,0.002,0.151,0.579,0.007
0.008,0.978,0.058,0.003,0.003,0.002,0.151,0.579,0.007
0.008,0.978,0.058,0.003,0.003,0.002,0.151,0.579,0.007
0.838,0.117,0.743,0.849,0.905,0.900,0.530,0.661,0.789
0.344,0.031,0.867,0.792,0.377,0.378,0.871,0.910,0.238
0.679,0.044,0.018,0.046,0.772,0.765,0.510,0.474,0.329
0.461,0.097,0.052,0.018,0.402,0.214,0.759,0.916,0.149
0.933,0.058,0.020,0.023,0.967,0.968,0.589,0.535,0.705
0.213,0.014,0.817,0.614,0.222,0.088,0.908,0.940,0.125
0.972,0.009,0.441,0.537,0.992,0.996,0.834,0.805,0.919
0.910,0.304,0.021,0.025,0.940,0.959,0.762,0.771,0.658
0.722,0.016,0.549,0.406,0.811,0.766,0.916,0.932,0.530
0.343,0.006,0.071,0.791,0.614,0.799,0.868,0.800,0.208
0.042,0.112,0.113,0.030,0.030,0.016,0.809,0.836,0.014
0.904,0.006,0.031,0.351,0.982,0.992,0.910,0.873,0.699
0.904,0.006,0.031,0.351,0.982,0.992,0.910,0.873,0.699
0.904,0.006,0.031,0.351,0.982,0.992,0.910,0.873,0.699
0.494,0.051,0.100,0.016,0.486,0.319,0.847,0.719,0.189
0.804,0.007,0.378,0.420,0.902,0.840,0.769,0.733,0.652
0.232,0.128,0.011,0.003,0.181,0.231,0.482,0.331,0.097
0.675,0.135,0.008,0.003,0.650,0.571,0.399,0.300,0.285
0.675,0.135,0.008,0.003,0.650,0.571,0.399,0.300,0.285
0.675,0.135,0.008,0.003,0.650,0.571,0.399,0.300,0.285
0.918,0.007,0.012,0.005,0.971,0.975,0.874,0.785,0.710
0.605,0.085,0.055,0.338,0.739,0.763,0.642,0.586,0.311
0.939,0.020,0.251,0.990,0.986,0.992,0.697,0.723,0.780
0.247,0.126,0.153,0.050,0.207,0.105,0.730,0.686,0.093
0.777,0.059,0.791,0.821,0.849,0.923,0.736,0.770,0.690
0.109,0.775,0.227,0.066,0.075,0.091,0.697,0.861,0.048
0.010,0.194,0.029,0.033,0.006,0.010,0.522,0.761,0.009
0.605,0.059,0.834,0.487,0.627,0.514,0.842,0.864,0.442
0.065,0.014,0.921,0.912,0.061,0.044,0.874,0.941,0.045
0.061,0.101,0.005,0.001,0.037,0.040,0.651,0.622,0.024
0.705,0.066,0.500,0.205,0.735,0.654,0.827,0.804,0.514
0.029,0.119,0.141,0.214,0.023,0.008,0.629,0.593,0.015
0.876,0.010,0.560,0.288,0.926,0.932,0.900,0.897,0.634
0.031,0.930,0.148,0.021,0.015,0.009,0.501,0.965,0.032
0.006,0.954,0.260,0.096,0.002,0.003,0.591,0.972,0.007
0.448,0.095,0.017,0.008,0.429,0.212,0.578,0.601,0.183
0.448,0.095,0.017,0.008,0.429,0.212,0.578,0.601,0.183
0.797,0.903,0.757,0.606,0.804,0.813,0.809,0.972,0.621
0.916,0.007,0.195,0.892,0.979,0.985,0.853,0.870,0.738
0.023,0.196,0.126,0.080,0.015,0.011,0.696,0.842,0.012
0.103,0.050,0.010,0.007,0.078,0.079,0.739,0.809,0.040
0.051,0.012,0.030,0.017,0.051,0.050,0.912,0.912,0.018
0.739,0.049,0.032,0.059,0.812,0.906,0.623,0.456,0.479
0.636,0.032,0.437,0.471,0.736,0.796,0.835,0.860,0.437
0.013,0.928,0.155,0.025,0.006,0.008,0.365,0.891,0.018
0.613,0.029,0.259,0.512,0.725,0.851,0.759,0.710,0.383
0.741,0.069,0.054,0.073,0.787,0.457,0.589,0.621,0.250
0.741,0.069,0.054,0.073,0.787,0.457,0.589,0.621,0.250
0.741,0.069,0.054,0.073,0.787,0.457,0.589,0.621,0.250
0.054,0.452,0.011,0.002,0.041,0.055,0.593,0.630,0.033
0.928,0.053,0.007,0.006,0.961,0.948,0.583,0.413,0.547
0.084,0.030,0.847,0.707,0.084,0.021,0.899,0.956,0.040
0.966,0.014,0.271,0.631,0.991,0.993,0.723,0.820,0.890
0.627,0.423,0.036,0.007,0.659,0.822,0.787,0.860,0.372
0.052,0.025,0.793,0.772,0.048,0.017,0.872,0.909,0.032
0.368,0.011,0.130,0.065,0.398,0.202,0.908,0.846,0.106
0.675,0.069,0.056,0.013,0.705,0.531,0.772,0.549,0.333
0.480,0.154,0.559,0.418,0.454,0.590,0.766,0.769,0.279
0.150,0.074,0.701,0.350,0.125,0.042,0.817,0.847,0.073
0.636,0.040,0.243,0.978,0.797,0.881,0.621,0.523,0.416
0.288,0.019,0.810,0.915,0.357,0.255,0.701,0.726,0.226
0.116,0.246,0.026,0.011,0.101,0.084,0.652,0.623,0.042
0.116,0.246,0.026,0.011,0.101,0.084,0.652,0.623,0.042
0.013,0.064,0.748,0.201,0.009,0.003,0.926,0.972,0.007
0.566,0.091,0.016,0.017,0.587,0.612,0.479,0.417,0.269
0.673,0.031,0.012,0.007,0.741,0.682,0.832,0.773,0.236
0.823,0.063,0.566,0.723,0.886,0.927,0.658,0.762,0.704
0.016,0.889,0.237,0.212,0.006,0.012,0.279,0.808,0.011
0.762,0.053,0.074,0.183,0.852,0.877,0.614,0.603,0.445
0.921,0.014,0.145,0.542,0.980,0.994,0.864,0.859,0.789
0.788,0.143,0.451,0.549,0.830,0.916,0.683,0.793,0.533
0.465,0.033,0.763,0.842,0.519,0.507,0.788,0.843,0.308
0.877,0.214,0.003,0.001,0.873,0.863,0.306,0.190,0.546
0.054,0.090,0.093,0.024,0.034,0.008,0.570,0.500,0.018
0.063,0.041,0.828,0.656,0.054,0.015,0.877,0.935,0.037
0.788,0.172,0.065,0.053,0.868,0.930,0.871,0.940,0.577
0.370,0.107,0.527,0.396,0.355,0.123,0.850,0.967,0.182
0.248,0.257,0.034,0.006,0.214,0.144,0.713,0.460,0.105
0.248,0.257,0.034,0.006,0.214,0.144,0.713,0.460,0.105
0.219,0.290,0.030,0.003,0.190,0.105,0.743,0.530,0.068
0.007,0.096,0.179,0.049,0.005,0.004,0.894,0.968,0.006
0.551,0.007,0.434,0.934,0.727,0.842,0.863,0.870,0.352
0.304,0.061,0.871,0.607,0.292,0.215,0.869,0.876,0.199
0.204,0.731,0.062,0.021,0.188,0.306,0.796,0.881,0.139
0.844,0.052,0.570,0.574,0.914,0.932,0.853,0.941,0.578
0.959,0.008,0.118,0.591,0.990,0.994,0.888,0.868,0.727
0.125,0.013,0.502,0.483,0.106,0.074,0.774,0.766,0.049
0.377,0.053,0.738,0.757,0.360,0.347,0.749,0.790,0.278
0.925,0.003,0.030,0.994,0.992,0.998,0.887,0.866,0.732
0.902,0.004,0.015,0.277,0.983,0.994,0.927,0.888,0.687
0.068,0.023,0.594,0.641,0.048,0.014,0.696,0.816,0.037
0.032,0.301,0.012,0.002,0.016,0.013,0.359,0.548,0.019
0.036,0.385,0.013,0.001,0.017,0.015,0.433,0.597,0.020
0.683,0.010,0.061,0.335,0.825,0.861,0.790,0.771,0.339
0.374,0.035,0.747,0.812,0.350,0.390,0.717,0.828,0.161
0.191,0.043,0.036,0.040,0.163,0.059,0.716,0.839,0.066
0.093,0.024,0.282,0.027,0.077,0.026,0.957,0.953,0.026
0.945,0.050,0.330,0.704,0.981,0.986,0.683,0.806,0.853
0.766,0.022,0.561,0.351,0.840,0.800,0.888,0.906,0.638
0.206,0.089,0.817,0.674,0.179,0.117,0.785,0.848,0.148
0.467,0.032,0.103,0.098,0.520,0.358,0.741,0.720,0.226
0.571,0.096,0.702,0.283,0.553,0.400,0.835,0.842,0.373
0.244,0.094,0.005,0.002,0.192,0.191,0.617,0.603,0.077
0.052,0.940,0.216,0.046,0.029,0.020,0.289,0.901,0.036
0.970,0.232,0.008,0.026,0.982,0.972,0.644,0.833,0.703
0.899,0.003,0.090,0.225,0.975,0.989,0.956,0.948,0.759
0.831,0.115,0.018,0.043,0.868,0.777,0.474,0.682,0.355
0.435,0.271,0.401,0.059,0.383,0.208,0.793,0.846,0.159
0.117,0.057,0.391,0.790,0.106,0.088,0.482,0.445,0.054
0.520,0.103,0.005,0.001,0.510,0.595,0.640,0.394,0.161
0.654,0.062,0.012,0.006,0.719,0.808,0.689,0.471,0.291
0.197,0.014,0.866,0.678,0.182,0.108,0.916,0.955,0.105
0.334,0.005,0.146,0.503,0.399,0.346,0.785,0.820,0.146
0.391,0.098,0.865,0.521,0.360,0.336,0.819,0.847,0.330
0.080,0.078,0.039,0.004,0.065,0.054,0.858,0.667,0.033
0.459,0.015,0.966,0.934,0.594,0.547,0.892,0.925,0.503
0.962,0.041,0.003,0.003,0.978,0.957,0.608,0.628,0.578
0.962,0.041,0.003,0.003,0.978,0.957,0.608,0.628,0.578
0.932,0.010,0.046,0.030,0.970,0.988,0.815,0.693,0.743
0.973,0.006,0.069,0.985,0.997,0.999,0.860,0.867,0.858
0.029,0.074,0.003,0.001,0.017,0.019,0.657,0.671,0.008
0.984,0.002,0.019,0.470,0.998,0.999,0.869,0.877,0.902
0.679,0.011,0.685,0.778,0.804,0.890,0.838,0.774,0.486
0.309,0.014,0.367,0.361,0.337,0.139,0.601,0.652,0.138
0.309,0.014,0.367,0.361,0.337,0.139,0.601,0.652,0.138
0.309,0.014,0.367,0.361,0.337,0.139,0.601,0.652,0.138
0.006,0.044,0.029,0.036,0.003,0.003,0.561,0.758,0.004
0.054,0.122,0.053,0.124,0.045,0.102,0.484,0.601,0.037
0.098,0.125,0.847,0.676,0.071,0.029,0.757,0.852,0.056
0.945,0.006,0.050,0.071,0.985,0.988,0.907,0.881,0.785
0.009,0.246,0.019,0.010,0.005,0.006,0.486,0.646,0.007
0.210,0.674,0.237,0.181,0.176,0.138,0.867,0.985,0.095
0.270,0.249,0.026,0.006,0.276,0.230,0.760,0.590,0.088
0.962,0.010,0.226,0.433,0.990,0.995,0.826,0.788,0.877
0.966,0.018,0.599,0.748,0.986,0.995,0.905,0.934,0.871
0.499,0.204,0.478,0.664,0.508,0.631,0.616,0.656,0.323
0.906,0.009,0.317,0.471,0.968,0.971,0.867,0.846,0.766
0.509,0.031,0.941,0.900,0.584,0.534,0.837,0.916,0.468
0.569,0.016,0.820,0.919,0.579,0.724,0.805,0.843,0.390
0.074,0.080,0.082,0.078,0.055,0.042,0.704,0.809,0.034
0.116,0.068,0.020,0.029,0.104,0.190,0.651,0.683,0.057
0.904,0.001,0.009,0.273,0.988,0.993,0.962,0.921,0.638
0.103,0.095,0.012,0.001,0.080,0.057,0.855,0.753,0.029
0.892,0.010,0.276,0.826,0.966,0.975,0.806,0.805,0.682
0.096,0.010,0.869,0.825,0.090,0.041,0.912,0.979,0.048
0.930,0.044,0.008,0.020,0.960,0.932,0.643,0.786,0.510
0.433,0.068,0.498,0.433,0.448,0.545,0.785,0.808,0.225
0.016,0.040,0.338,0.052,0.010,0.004,0.920,0.969,0.006
0.015,0.137,0.021,0.010,0.009,0.008,0.486,0.523,0.008
0.076,0.055,0.828,0.817,0.069,0.035,0.770,0.829,0.068
0.076,0.055,0.828,0.817,0.069,0.035,0.770,0.829,0.068
0.843,0.034,0.203,0.584,0.925,0.957,0.779,0.814,0.588
0.962,0.007,0.569,0.678,0.989,0.992,0.816,0.829,0.936
0.061,0.207,0.283,0.678,0.051,0.035,0.397,0.539,0.046
0.822,0.012,0.470,0.544,0.908,0.883,0.921,0.974,0.534
0.919,0.010,0.038,0.015,0.960,0.959,0.876,0.759,0.695
0.003,0.289,0.015,0.007,0.001,0.006,0.764,0.962,0.002
0.665,0.026,0.532,0.870,0.791,0.855,0.756,0.712,0.494
0.254,0.025,0.655,0.836,0.280,0.273,0.747,0.765,0.142
0.248,0.129,0.844,0.626,0.199,0.107,0.743,0.808,0.166
0.845,0.012,0.560,0.481,0.915,0.912,0.838,0.736,0.721
0.957,0.014,0.063,0.968,0.993,0.997,0.819,0.835,0.820
0.178,0.113,0.141,0.065,0.117,0.051,0.741,0.914,0.073
0.346,0.080,0.310,0.232,0.329,0.241,0.712,0.751,0.210
0.158,0.038,0.142,0.052,0.135,0.046,0.832,0.815,0.056
0.356,0.007,0.337,0.984,0.509,0.694,0.733,0.721,0.169
0.020,0.021,0.077,0.057,0.016,0.008,0.834,0.828,0.010
